chrom1	mid1	chrom2	mid2	strand1	strand2	fc1	fc2	fc.mean
chr3	52066511	chr3	52648153	+	+	30.72863	39.81235	35.27049
chr11	98204106	chr11	98813432	+	+	65.88831	4.6322800000000015	35.260295
chr11	68808100	chr11	69392997	-	+	6.2365900000000005	64.26518	35.250885000000004
chr2	167244915	chr2	167838847	+	+	48.61102	21.79202	35.20152
chr11	78267356	chr11	78862605	+	+	66.48611	3.90662	35.196365
chr11	77648811	chr11	78267356	+	+	3.76107	66.48611	35.12359
chr11	98204106	chr11	98796377	+	+	65.88831	4.14066	35.014485
chr6	85189120	chr6	85793785	-	-	56.9497	12.99289	34.971295
chr12	113790387	chr12	114386774	-	+	63.50971	6.2365900000000005	34.87315
chr12	85930843	chr12	86522259	-	+	66.84265	2.7904400000000003	34.816545000000005
chr10	126365809	chr10	126950079	+	+	20.80863	48.51038	34.659504999999996
chr11	98204106	chr11	98786177	+	-	65.88831	3.34853	34.61842
chr15	101896258	chr15	102501640	-	-	32.65152	36.58159000000001	34.616555000000005
chr5	130730366	chr5	131329407	+	-	9.66673	59.50898000000001	34.587855000000005
chr10	75976159	chr10	76593485	-	+	18.02032	51.09345	34.556885
chr6	124365992	chr6	124980727	+	-	16.4859	52.46032	34.473110000000005
chr17	56692586	chr17	57306682	-	-	57.07227	11.8446	34.458435
chr10	59707982	chr10	60289912	-	+	61.24213	7.57148	34.406805
chr15	77167065	chr15	77747816	-	-	51.58131	17.21886	34.400085000000004
chr1	74973472	chr1	75556256	+	-	30.69487	37.82629	34.260580000000004
chr13	56299056	chr13	56908303	+	+	49.64824	18.60785	34.128045
chr11	94798495	chr11	95395262	-	+	55.70014000000001	12.48932	34.094730000000006
chr11	120637597	chr11	121231151	-	+	50.49879	17.63208	34.065435
chr11	100159823	chr11	100754942	-	+	20.33512	47.79223	34.063675
chr15	76575868	chr15	77167065	+	-	16.24008	51.58131	33.910695000000004
chr11	117964432	chr11	118564026	-	+	55.73729	11.98216	33.859725
chr2	130776490	chr2	131371296	-	+	18.8355	48.76584	33.80067
chr15	71748230	chr15	72347666	+	-	38.37966	29.10407	33.741865000000004
chr17	33676266	chr17	34272369	-	+	10.89601	56.42954	33.662775
chr11	94201697	chr11	94798495	+	-	11.46251	55.70014000000001	33.58132500000001
chr15	76553176	chr15	77167065	+	-	15.50586	51.58131	33.543585
chr2	25910782	chr2	26502509	+	+	23.37416	43.69783	33.535995
chr5	130230843	chr5	130834992	-	+	64.13753	2.78401	33.46077
chr11	102348465	chr11	102964134	+	+	18.09609	48.77546	33.435775
chr6	50298791	chr6	50887314	+	-	15.31207	51.54651	33.42929
chr4	137838963	chr4	138440407	-	-	47.72947	19.02409	33.37678
chr2	180480195	chr2	181068946	-	-	44.00312	22.34776	33.17544
chr2	32163845	chr2	32768121	-	+	16.06296	49.98085	33.021905
chr9	121017422	chr9	121607051	+	+	16.06296	49.64824	32.8556
chr4	105614591	chr4	106202627	-	-	17.60125	48.10032	32.850785
chr5	130731881	chr5	131329407	+	-	5.98392	59.50898000000001	32.74645
chr5	130748408	chr5	131329407	+	-	5.96787	59.50898000000001	32.73842500000001
chr9	72378216	chr9	72966025	+	+	57.69465	7.40947	32.552060000000004
chr19	41146250	chr19	41730665	+	+	52.89625	12.15324	32.524745
chr4	137280877	chr4	137882258	+	+	42.68821	22.34776	32.517984999999996
chr15	77167065	chr15	77764386	-	+	51.58131	13.29175	32.436530000000005
chr13	48667700	chr13	49265342	-	-	43.3983	21.41659	32.407444999999996
chr7	149506909	chr7	150105362	-	-	2.7904400000000003	61.94783	32.369135
chr8	73293460	chr8	73895673	-	+	59.05101	5.60912	32.330065
chr13	110549606	chr13	111158941	-	-	21.99244	42.64881	32.320625
chr9	76837977	chr9	77444340	+	+	4.46471	59.96497	32.21484
chr8	72703169	chr8	73293460	+	-	5.3651800000000005	59.05101	32.208095
chr16	10416305	chr16	11034715	+	-	3.05771	61.22009	32.1389
chr2	167244915	chr2	167835623	+	-	48.61102	15.66543	32.138225000000006
chr7	150105362	chr7	150687210	-	+	61.94783	2.2925	32.120165
chr17	5429628	chr17	6024193	+	+	59.39228000000001	4.67744	32.03486
chr17	28690190	chr17	29308306	-	+	36.68004000000001	27.37613	32.028085000000004
chr13	111158941	chr13	111758522	-	-	42.64881	21.384870000000006	32.01684
chr9	30761016	chr9	31367249	+	+	7.40947	56.39679	31.90313
chr4	137232222	chr4	137838963	+	-	16.06296	47.72947	31.896214999999998
chr17	34272369	chr17	34860193	+	-	56.42954	7.25515	31.842345
chr7	127347530	chr7	127967018	-	-	47.31179	16.34402	31.827905
chr1	77939864	chr1	78522018	+	+	12.57232	51.04025	31.806285
chr6	124430484	chr6	125032089	+	-	24.62712	38.97419	31.800655
chr14	63111466	chr14	63695191	+	+	50.63315	12.93792	31.785535
chr9	72378216	chr9	72969745	+	-	57.69465	5.8670800000000005	31.780865000000002
chr18	75145994	chr18	75759690	-	-	8.352039999999999	55.19709	31.774565000000003
chr8	109526568	chr8	110127116	-	+	46.85345	16.6309	31.742175000000003
chr11	94191041	chr11	94798495	+	-	7.7240199999999986	55.70014000000001	31.712080000000004
chr9	110575183	chr9	111192528	+	-	17.35412	45.96069	31.657405
chr8	73293460	chr8	73909334	-	+	59.05101	4.1760199999999985	31.613515
chr5	130714502	chr5	131329407	+	-	3.63474	59.50898000000001	31.571860000000004
chr13	48667700	chr13	49268768	-	-	43.3983	19.69663	31.547465
chr11	120030774	chr11	120637597	-	-	12.28821	50.49879	31.3935
chr9	77887094	chr9	78494011	-	+	53.82426	8.92942	31.37684
chr8	108927375	chr8	109526568	-	-	15.77718	46.85345	31.315315000000002
chr15	78070147	chr15	78679120	-	-	40.8322	21.79202	31.31211
chr10	74614290	chr10	75228082	-	-	34.8769	27.35275	31.114825
chr11	120021990	chr11	120637597	+	-	11.71986	50.49879	31.109325
chr10	125767841	chr10	126356310	-	+	21.82805	40.37553	31.10179
chr5	135491548	chr5	136092120	+	+	27.85007	34.33616	31.093114999999997
chr6	85189120	chr6	85787536	-	+	56.9497	5.19715	31.073425
chr9	30288275	chr9	30890124	+	-	40.23142	21.8822	31.05681
chr16	42165241	chr16	42771286	-	+	58.5993	3.34853	30.973914999999998
chr2	29475164	chr2	30069197	+	-	44.68196	17.16808	30.925019999999996
chr2	131035859	chr2	131645981	-	+	39.58404	22.2284	30.90622
chr6	124398645	chr6	124980727	+	-	9.17001	52.46032	30.815165
chr17	33690065	chr17	34272369	-	+	5.1040199999999984	56.42954	30.76678
chr6	85189120	chr6	85789491	-	-	56.9497	4.56775	30.758725
chr11	100144089	chr11	100754942	+	+	13.55413	47.79223	30.673180000000002
chr18	38043387	chr18	38624249	-	+	50.14754	11.13803	30.642785
chr17	35089899	chr17	35694023	+	+	23.52314	37.71696	30.62005
chr12	82300726	chr12	82889918	+	+	17.19377	44.00312	30.598445
chr10	79627990	chr10	80210343	-	+	39.81525	21.3441	30.579675
chr9	30779818	chr9	31367249	-	+	4.67744	56.39679	30.537115
chr9	110612394	chr9	111192528	-	-	15.08678	45.96069	30.523735
chr9	31367249	chr9	31951044	+	+	56.39679	4.46319	30.42999
chr11	94179882	chr11	94798495	-	-	5.1593300000000015	55.70014000000001	30.429735000000008
chr9	30766054	chr9	31367249	+	+	4.20292	56.39679	30.299855
chr2	152296904	chr2	152907148	+	-	15.92494	44.4222	30.173569999999998
chr4	137838963	chr4	138422516	-	+	47.72947	12.57232	30.150895
chr2	75443947	chr2	76054414	+	+	49.24393	10.91403	30.07898
chr8	108936092	chr8	109526568	+	-	13.29175	46.85345	30.0726
chr2	129500821	chr2	130117399	+	+	34.33616	25.75782	30.04699
chr5	115429025	chr5	116009304	+	+	24.02765	36.04725	30.03745
chr5	100499414	chr5	101093039	+	+	15.09694	44.88806	29.9925
chr17	28505604	chr17	29124849	-	+	27.02521	32.85342	29.939315
chr2	167244915	chr2	167842524	+	-	48.61102	11.08043	29.845725
chr14	66008726	chr14	66601165	-	+	28.40215	31.25081	29.82648
chr9	31367249	chr9	31984016	+	-	56.39679	3.17549	29.786140000000003
chr14	32249443	chr14	32845888	-	-	42.74589	16.67848	29.712185
chr3	96384275	chr3	96989237	-	-	43.17546	16.240879999999994	29.708169999999996
chr8	123637416	chr8	124218578	+	+	42.2242	17.182170000000006	29.703185000000005
chr7	144670161	chr7	145275957	+	-	41.89275	17.46517	29.67896
chr4	134034102	chr4	134622840	-	+	37.21817	22.12049	29.669330000000002
chr9	105941417	chr9	106545697	-	-	11.13605	48.19389	29.66497
chr14	22073351	chr14	22668273	+	-	6.21231	53.10965	29.660980000000002
chr15	79919230	chr15	80534954	+	-	34.67827	24.59212	29.635195
chr9	77961002	chr9	78548697	+	+	41.7602	17.46517	29.612685
chr18	36099521	chr18	36685358	-	-	31.8255	27.37613	29.600815
chr2	29475164	chr2	30059057	+	-	44.68196	14.50009	29.591025
chr2	131371296	chr2	131962187	+	-	48.76584	10.392000000000001	29.57892
chr3	87739827	chr3	88330356	+	-	18.76121	40.36819000000001	29.564700000000006
chr15	78070147	chr15	78657160	-	+	40.8322	18.25676	29.54448
chr2	167244915	chr2	167830086	+	-	48.61102	10.39351	29.502265
chr11	117964432	chr11	118570618	-	+	55.73729	3.24492	29.491105
chr2	93057347	chr2	93663925	+	-	9.28004	49.67089	29.475465
chr8	95342276	chr8	95954710	+	-	46.99733	11.78132	29.389325
chr11	94210262	chr11	94798495	+	-	3.05667	55.70014000000001	29.378405000000004
chr2	93662755	chr2	94278385	-	-	17.63208	41.05752	29.3448
chr6	124443045	chr6	125032089	+	-	19.63554	38.97419	29.304865
chr2	180807031	chr2	181413701	-	-	25.32763	33.24129	29.28446
chr2	101313141	chr2	101917877	-	+	40.50088	18.02032	29.260600000000004
chr2	131035859	chr2	131646965	-	+	39.58404	18.9287	29.25637
chr17	45800414	chr17	46403017	+	+	32.01615	26.47114	29.243645
chr2	93044096	chr2	93663925	+	-	8.80062	49.67089	29.235755
chr4	137280877	chr4	137896093	+	-	42.68821	15.73812	29.213165
chr4	137280877	chr4	137867694	+	+	42.68821	15.69461	29.191409999999998
chr11	117219801	chr11	117831393	-	+	41.85229	16.50131	29.1768
chr11	120637597	chr11	121223747	-	-	50.49879	7.85422	29.176505
chr2	152907148	chr2	153520407	-	-	44.4222	13.92503	29.173614999999998
chr11	100159287	chr11	100754942	-	+	10.5279	47.79223	29.160065000000003
chr9	105519817	chr9	106114427	-	-	8.92942	49.361999999999995	29.145709999999998
chr15	96767408	chr15	97378988	-	-	52.69444	5.58089	29.137665
chr8	123637416	chr8	124242195	+	+	42.2242	16.047520000000002	29.13586
chr14	22668273	chr14	23263959	-	-	53.10965	5.0228	29.066225000000003
chr10	127111469	chr10	127710202	-	+	51.12743	6.9600300000000015	29.04373
chr17	86844445	chr17	87443974	-	-	19.4318	38.64525	29.038525
chr7	29062670	chr7	29652908	+	-	29.62378	28.36399	28.993885
chr2	131371296	chr2	131965040	+	-	48.76584	9.2197	28.99277
chr5	65204912	chr5	65793091	-	+	17.57585	40.23142	28.903635
chr4	137239286	chr4	137838963	+	-	10.05786	47.72947	28.893665
chr9	106114427	chr9	106721730	-	-	49.361999999999995	8.352039999999999	28.85702
chr6	71754284	chr6	72357287	-	+	18.95895	38.62008	28.789515
chr11	58730612	chr11	59338884	-	+	15.417	42.15944	28.78822
chr1	87750070	chr1	88368139	+	+	34.76962	22.73611	28.752865
chr10	126509548	chr10	127111469	+	-	6.34379	51.12743	28.735609999999998
chr19	58702391	chr19	59314127	-	+	13.410470000000002	43.84125	28.625860000000003
chr4	153703169	chr4	154318610	+	+	20.09119	37.12018	28.605685
chr10	76013380	chr10	76593485	+	+	6.0903300000000025	51.09345	28.59189
chr19	41146250	chr19	41760886	+	-	52.89625	4.23398	28.565115000000002
chr1	156853902	chr1	157461743	-	+	52.65217	4.46471	28.558439999999997
chr1	36121917	chr1	36741171	-	-	22.46986	34.51188	28.49087
chr3	52061763	chr3	52648153	+	+	17.15061	39.81235	28.48148
chr15	77167065	chr15	77753897	-	+	51.58131	5.3254	28.453355000000002
chr14	63111466	chr14	63696203	+	-	50.63315	6.2129699999999985	28.42306
chr14	28005870	chr14	28617256	+	+	9.17001	47.5861	28.378055
chr12	70461812	chr12	71042940	-	-	51.54651	5.1960000000000015	28.371254999999998
chr11	100844889	chr11	101450896	+	-	24.87169	31.82865	28.35017
chr3	28064681	chr3	28645256	+	-	6.9600300000000015	49.72203	28.34103
chr17	35121375	chr17	35715321	-	+	21.84891	34.73245	28.290680000000002
chr15	77167065	chr15	77751565	-	-	51.58131	4.99331	28.28731
chr10	79043731	chr10	79627990	+	-	16.74266	39.81525	28.278955
chr5	117955411	chr5	118541055	+	-	35.89521	20.64928	28.272244999999998
chr6	85954463	chr6	86549101	-	-	25.93313	30.59818	28.265655
chr10	79627990	chr10	80213983	-	+	39.81525	16.704079999999998	28.259665
chr17	29124849	chr17	29740428	+	+	32.85342	23.66411	28.258765
chr10	126467959	chr10	127078996	-	+	33.72749	22.7325	28.229995000000002
chr15	78070147	chr15	78682417	-	-	40.8322	15.60064	28.21642
chr14	57679081	chr14	58298949	-	+	24.45336	31.84988	28.15162
chr2	32160152	chr2	32768121	+	+	6.28616	49.98085	28.133505
chr6	124362102	chr6	124980727	-	-	3.77371	52.46032	28.117015000000002
chr6	124375550	chr6	124980727	-	-	3.7717	52.46032	28.116010000000003
chr15	78869460	chr15	79488472	+	+	32.79975	23.40096	28.100355
chr12	100833746	chr12	101440211	-	+	2.7904400000000003	53.39496	28.0927
chr2	160423764	chr2	161011049	+	+	31.84988	24.32803	28.088955
chr6	124423031	chr6	125032089	+	-	17.20349	38.97419	28.088839999999998
chr15	77167065	chr15	77760884	-	+	51.58131	4.53549	28.058400000000002
chr6	134813395	chr6	135394779	+	+	27.09258	29.02061	28.056595
chr4	137875606	chr4	138478178	+	+	36.60448	19.485	28.04474
chr4	113981325	chr4	114581603	-	-	21.76545	34.30122	28.033335
chr11	102367419	chr11	102964134	+	+	7.25515	48.77546	28.015305
chr12	100837568	chr12	101440211	+	+	2.59858	53.39496	27.996769999999998
chr13	110566497	chr13	111158941	+	-	13.29175	42.64881	27.97028
chr11	4158983	chr11	4743649	+	+	34.52261	21.39669	27.95965
chr11	101185098	chr11	101781134	+	+	29.53513	26.36378	27.949455
chr10	127111469	chr10	127708133	-	+	51.12743	4.6903	27.908865
chr7	52323512	chr7	52938298	-	-	31.90838	23.90482	27.9066
chr6	50244313	chr6	50848987	-	-	50.78606	5.0228	27.904429999999998
chr13	52928783	chr13	53522039	+	-	15.87868	39.90419	27.891435
chr17	47648297	chr17	48238056	+	+	20.71441	35.04189	27.87815
chr2	93067214	chr2	93663925	+	-	6.032030000000002	49.67089	27.85146
chr11	100156817	chr11	100765115	-	-	52.43225	3.24802	27.840135
chr5	135489168	chr5	136092120	+	+	21.3441	34.33616	27.840130000000002
chr4	137280877	chr4	137874606	+	-	42.68821	12.99039	27.839299999999998
chr3	87734656	chr3	88330356	-	-	15.26325	40.36819000000001	27.815720000000006
chr2	152907148	chr2	153498507	-	+	44.4222	11.16177	27.791984999999997
chr15	74891144	chr15	75509896	-	-	19.74919	35.78634	27.767765
chr11	120024741	chr11	120637597	-	-	5.0228	50.49879	27.760795
chr1	77927446	chr1	78522018	-	+	4.46471	51.04025	27.75248
chr15	76572014	chr15	77167065	+	-	3.90662	51.58131	27.743965000000003
chrX	138635078	chrX	139253036	+	+	42.41473	12.99206	27.703395
chr4	138553240	chr4	139167750	-	-	14.10855	41.26505	27.6868
chr5	35704656	chr5	36314696	+	-	29.84279	25.52012	27.681455
chr7	19592035	chr7	20204570	+	-	38.62008	16.704079999999998	27.66208
chr9	62695695	chr9	63310295	+	-	27.73624	27.58182	27.65903
chr2	151319863	chr2	151915014	+	+	38.5721	16.74266	27.65738
chr1	166068968	chr1	166675272	-	+	43.57557	11.73417	27.65487
chr2	26502509	chr2	27093049	+	-	43.69783	11.60006	27.648945
chr2	25910782	chr2	26495851	+	-	23.37416	31.88309000000001	27.628625000000007
chr6	124980727	chr6	125560951	-	-	52.46032	2.78401	27.622165000000003
chr2	26502509	chr2	27107164	+	-	43.69783	11.53837	27.618100000000002
chr15	77167065	chr15	77748633	-	-	51.58131	3.58952	27.585415
chr2	151319863	chr2	151937848	+	+	38.5721	16.56225	27.567175
chr9	30288275	chr9	30894162	+	-	40.23142	14.848070000000002	27.539745
chr15	78278245	chr15	78869460	+	+	22.27211	32.79975	27.53593
chr4	118239058	chr4	118840460	-	-	41.2962	13.755020000000002	27.52561
chr12	118623966	chr12	119232149	+	+	24.86102	30.17728	27.51915
chr10	126522893	chr10	127111469	-	-	3.897	51.12743	27.512214999999998
chr10	127111469	chr10	127709127	-	+	51.12743	3.897	27.512214999999998
chr12	82283284	chr12	82889918	-	+	11.01273	44.00312	27.507925
chr1	183819092	chr1	184420020	+	+	34.22073	20.78701	27.50387
chr9	106545697	chr9	107148694	-	+	48.19389	6.7563	27.475095000000003
chr10	126342296	chr10	126950079	-	+	6.4104199999999985	48.51038	27.4604
chr7	35457128	chr7	36051897	-	-	44.00312	10.91403	27.458575000000003
chr4	10953572	chr4	11552329	+	-	30.1435	24.72556	27.434530000000002
chr12	113352133	chr12	113945393	+	-	24.01583	30.83401	27.42492
chr10	76593485	chr10	77187794	+	-	51.09345	3.71202	27.402735
chr1	163893332	chr1	164480159	-	+	27.98065	26.74586	27.363255000000002
chr2	130423439	chr2	131035859	-	-	15.11312	39.58404	27.348580000000002
chr3	88330356	chr3	88919638	-	+	40.36819000000001	14.28968	27.32893500000001
chr4	149614387	chr4	150224281	-	-	38.62008	16.02606	27.32307
chr7	133786264	chr7	134396121	-	+	36.38008	18.25676	27.31842
chr10	127108508	chr10	127721305	+	-	34.36434000000001	20.20824	27.286290000000008
chr19	47338978	chr19	47957153	+	+	11.36625	43.16497	27.26561
chr4	132773697	chr4	133393100	+	-	30.13678	24.35353	27.245155
chr1	183203189	chr1	183819092	+	+	20.2689	34.22073	27.244815000000003
chr14	57688965	chr14	58298949	-	+	22.63018	31.84988	27.240029999999997
chr10	75994652	chr10	76593485	-	+	3.3526199999999995	51.09345	27.223035
chr7	19928196	chr7	20542070	-	-	24.45336	29.94413	27.198745000000002
chr7	19592035	chr7	20174780	+	-	38.62008	15.77608	27.19808
chr2	152907148	chr2	153494652	-	+	44.4222	9.96881	27.195504999999997
chr7	108459309	chr7	109066765	+	+	35.46025	18.9287	27.194475
chr7	19928994	chr7	20542070	-	-	24.41937	29.94413	27.18175
chr10	126495432	chr10	127108508	-	+	19.9521	34.36434000000001	27.158220000000007
chr11	118369392	chr11	118953070	+	+	32.481770000000004	21.76768	27.124725
chr2	118526059	chr2	119114404	+	-	21.3441	32.79975	27.071925
chr4	45891994	chr4	46510606	-	+	12.22668	41.90773	27.067205
chr4	118239058	chr4	118830166	-	+	41.2962	12.83604	27.066119999999998
chr1	145636151	chr1	146253949	+	+	32.74208	21.30833	27.025205
chr15	102501640	chr15	103114650	-	+	36.58159000000001	17.46355	27.02257000000001
chr2	28319630	chr2	28909530	-	-	20.87061	33.15137	27.01099
chr15	76553513	chr15	77167065	-	-	2.41668	51.58131	26.998995
chr10	79627990	chr10	80237578	-	-	39.81525	14.1371	26.976174999999998
chr4	105587793	chr4	106202627	-	-	5.8455	48.10032	26.972910000000002
chr2	32768121	chr2	33387046	+	-	49.98085	3.90662	26.943734999999997
chr4	138552552	chr4	139167750	-	-	12.57232	41.26505	26.918685
chr6	112988211	chr6	113588372	+	+	17.47569	36.29796	26.886825
chr11	81448396	chr11	82049227	+	+	27.34634	26.42616	26.88625
chr5	121051515	chr5	121665555	-	+	24.37601	29.33541	26.855710000000002
chr2	70499398	chr2	71089091	+	+	35.26417	18.42163	26.8429
chr2	93039210	chr2	93650276	-	-	19.48627	34.198570000000004	26.842420000000004
chr11	58728413	chr11	59338884	+	+	11.49017	42.15944	26.824804999999998
chr4	61838523	chr4	62441592	-	+	32.62167	21.01461	26.81814
chr2	160423764	chr2	161040595	+	+	31.84988	21.76545	26.807665
chr16	17205252	chr16	17815593	+	-	30.688540000000003	22.92503	26.806785
chr11	70015531	chr11	70629450	+	-	31.33133	22.27211	26.801720000000003
chrX	138635078	chrX	139247870	+	+	42.41473	11.16177	26.788249999999998
chr7	133786264	chr7	134372617	-	-	36.38008	17.16808	26.774079999999998
chr10	76593485	chr10	77192184	+	+	51.09345	2.38576	26.739604999999997
chr13	55680338	chr13	56299056	-	+	3.78574	49.64824	26.71699
chr4	137875606	chr4	138470012	+	-	36.60448	16.81169	26.708085
chr7	25602712	chr7	26187957	+	-	27.58182	25.81721	26.699514999999998
chr8	129510536	chr8	130112418	+	-	34.76962	18.60979	26.689705000000004
chr7	25891027	chr7	26505184	+	+	34.34376	19.02409	26.683925000000002
chr4	11552329	chr4	12168267	-	+	24.72556	28.57937	26.652465
chr9	106114427	chr9	106730594	-	-	49.361999999999995	3.87037	26.616184999999998
chr10	24342579	chr10	24939158	-	-	37.5668	15.66543	26.616115
chr9	61708202	chr9	62318408	-	+	29.754490000000004	23.46833	26.611410000000003
chr18	38043387	chr18	38654578	-	+	50.14754	3.05667	26.602104999999998
chr5	23293450	chr5	23899348	+	-	29.13188	24.07128	26.60158
chr12	112651771	chr12	113239546	-	-	39.39854	13.75729	26.577914999999997
chr1	74940241	chr1	75556256	+	-	15.31207	37.82629	26.56918
chr2	131035859	chr2	131653961	-	+	39.58404	13.5148	26.54942
chr11	100993218	chr11	101594074	+	-	13.06347	39.99667	26.530070000000002
chr12	113329502	chr12	113945393	-	-	22.2111	30.83401	26.522554999999997
chr12	82889918	chr12	83498483	+	-	44.00312	9.03051	26.516815
chr10	79839139	chr10	80451030	+	-	31.33087	21.6908	26.510835
chr2	131035859	chr2	131638688	-	-	39.58404	13.372929999999998	26.478485
chr6	124431785	chr6	125032089	+	-	13.96425	38.97419	26.46922
chr17	35117743	chr17	35715321	-	+	18.19513	34.73245	26.46379
chr15	89454200	chr15	90045569	+	-	23.88741	29.01697	26.45219
chr13	53522039	chr13	54131135	-	+	39.90419	12.99289	26.44854
chr11	58741632	chr11	59338884	+	+	10.71675	42.15944	26.438094999999997
chr6	124612654	chr6	125224989	+	+	24.45336	28.42155	26.437455
chr16	4316280	chr16	4909938	+	+	28.23777	24.61629	26.427030000000002
chr7	127347530	chr7	127946413	-	+	47.31179	5.44801	26.3799
chr2	163298454	chr2	163899753	-	+	33.24129	19.48627	26.36378
chr19	47344415	chr19	47957153	+	+	9.48751	43.16497	26.32624
chr4	106240966	chr4	106836803	+	-	6.31965	46.28136	26.300505
chr8	18345551	chr8	18954191	-	+	15.77608	36.82411	26.300095
chr14	69998607	chr14	70581146	+	-	30.04886	22.54294	26.295900000000003
chr6	128184409	chr6	128795488	+	-	14.03232	38.51218	26.27225
chr2	131371296	chr2	131968529	+	+	48.76584	3.71202	26.23893
chr2	128910884	chr2	129500821	-	+	18.09609	34.33616	26.216124999999998
chr3	87790994	chr3	88407713	-	-	37.52242	14.848070000000002	26.185245
chr9	60092924	chr9	60706602	+	-	21.31616	31.01172	26.16394
chr9	106114427	chr9	106713326	-	-	49.361999999999995	2.7904400000000003	26.07622
chr9	106114427	chr9	106722191	-	+	49.361999999999995	2.76181	26.061904999999996
chr4	137278788	chr4	137875606	-	+	15.50586	36.60448	26.05517
chr9	64195362	chr9	64808577	+	-	23.10595	28.99899000000001	26.052470000000007
chr6	113588372	chr6	114200551	+	-	36.29796	15.799120000000002	26.048540000000003
chr6	134353140	chr6	134961565	-	+	13.45606	38.62008	26.03807
chr8	128922442	chr8	129510536	-	+	17.30075	34.76962	26.035185000000002
chr14	63076504	chr14	63685532	-	-	22.59458	29.39869	25.996634999999998
chr5	115089522	chr5	115686078	+	-	25.98577	25.98577	25.98577
