chrom	start	end	strand	fc_P	fc_E	fc_A	PE_diff
chr14	69877900	69903027	-	67.2056	4.04708	25.63	63.15852
chr3	65194800	65196879	-	63.7895	0.6924100000000001	9.08	63.097089999999994
chr19	8971000	8976200	+	64.4892	1.56742	18.51	62.92178
chr11	6166000	6169100	-	66.0467	3.17238	14.16	62.874320000000004
chr10	59410200	59414890	-	64.96	2.21168	20.95	62.74831999999999
chr2	92215271	92220900	+	64.6894	2.03446	35.34	62.65494
chr4	88360600	88368741	-	65.1761	2.64088	28.93	62.53522
chr16	22255100	22266196	-	63.8466	1.5995700000000002	14.55	62.24703
chr2	180701255	180705600	+	63.9893	1.74971	19.24	62.23959
chr4	41257200	41262017	-	63.6037	1.37405	27.82	62.22965000000001
chr10	127759160	127761800	+	64.3327	2.1203	30.37	62.2124
chr7	148723500	148726700	-	65.4325	3.25806	15.58	62.174440000000004
chr2	37285200	37286767	-	62.9032	0.858859	9.18	62.044340999999996
chr5	121033900	121038705	-	65.2041	3.1991400000000003	31.88	62.00496
chr17	24872000	24874288	+	63.7895	1.7874	24.58	62.0021
chr15	76729000	76738700	+	65.1316	3.30114	10.01	61.83046
chr17	74927526	74930700	+	62.8752	1.079	13.74	61.7962
chr4	106133000	106138500	-	63.9181	2.24906	31.16	61.66904
chr1	87960608	87965500	+	62.9467	1.45989	16.86	61.48681
chr18	32398600	32402600	+	64.7036	3.27422	14.72	61.429379999999995
chr5	108329215	108331600	+	62.1889	1.05746	6.13	61.13144
chr4	149610526	149618300	+	64.5615	3.52112	22.77	61.04038
chr11	48613170	48618100	+	63.3461	2.39936	29.0	60.94674
chr9	44771600	44775900	-	61.9022	1.11638	22.88	60.78582
chr10	78036600	78039800	+	62.4444	1.83032	28.22	60.61408
chr10	119663400	119667000	+	62.3464	1.73372	9.77	60.612680000000005
chr7	148640918	148644600	+	64.3323	3.80571	41.65	60.526590000000006
chr9	88442100	88446200	+	62.4029	2.05585	14.46	60.34705
chr15	79908500	79914800	-	62.2025	2.1523	14.53	60.050200000000004
chr11	74526300	74538608	-	61.5888	1.63711	20.34	59.95169
chr11	100941700	100951700	+	63.2601	3.34406	39.13	59.91604
chr15	77640500	77672710	-	67.0774	7.2029999999999985	28.89	59.8744
chr6	38484507	38486500	+	60.6871	0.84809	25.54	59.83901
chr12	86450200	86457100	+	61.9599	2.14692	21.38	59.812979999999996
chr18	21049500	21055236	-	61.7888	2.00216	13.15	59.786640000000006
chr4	147513500	147515700	+	60.7871	1.1540700000000002	22.34	59.633030000000005
chr2	73746800	73750094	-	61.0314	1.44389	21.48	59.587509999999995
chr7	96484000	96488600	-	60.9596	1.56188	26.43	59.39772
chr5	136402000	136410804	-	62.5033	3.10792	23.22	59.39538
chr3	69525751	69531200	+	61.5587	2.1790700000000003	21.05	59.37963
chr7	104878500	104886864	-	62.2025	2.85009	21.18	59.35241
chr17	57128400	57131200	+	62.8589	3.59619	14.27	59.26271
chr19	44177000	44186500	-	62.5029	3.26883	22.79	59.234069999999996
chr7	108446100	108451400	-	61.8591	2.64611	16.38	59.21299
chr11	107340446	107345100	+	60.4589	1.27206	14.98	59.18684
chr3	94246100	94249300	+	60.6879	1.52435	9.17	59.16355
chr7	73202900	73207700	+	61.4594	2.31352	18.75	59.145880000000005
chr2	119418300	119427900	+	61.4602	2.34552	21.49	59.11468
chr3	57539606	57542300	+	60.4445	1.40097	37.89	59.04353
chr6	113554362	113557000	+	60.7166	1.68003	12.1	59.03657
chr4	132685000	132696300	+	61.9595	2.92547	12.69	59.03403
chr4	137989900	137994200	+	61.5022	2.58181	21.85	58.920390000000005
chr10	79866600	79871600	-	61.6443	2.78594	12.75	58.858360000000005
chr2	129626018	129634300	+	60.7589	1.92155	27.22	58.837349999999994
chr7	134985325	134986800	+	60.8735	2.088	37.39	58.7855
chr5	137428400	137443500	+	61.8304	3.13469	26.52	58.69571
chr3	85943700	85946730	-	60.0163	1.34728	5.86	58.66902
chr7	25755800	25758057	-	60.9869	2.41028	17.31	58.57662
chr16	21792800	21796200	+	59.4438	0.901779	16.83	58.542021000000005
chr8	106964700	106967342	-	62.3596	3.8431	15.79	58.5165
chr17	56719100	56724349	-	60.931	2.42613	15.99	58.50487
chr14	21493344	21502200	+	62.0304	3.52635	30.17	58.50405
chr18	6234800	6241897	-	60.0882	1.68003	13.16	58.40817
chr16	37867543	37881300	+	60.7883	2.43689	25.41	58.35141
chr15	80778257	80780600	+	59.772	1.4331200000000002	11.02	58.338879999999996
chr12	103149300	103152300	-	60.2163	1.93232	19.4	58.28398
chr2	130106900	130111200	-	59.8728	1.6424900000000002	13.01	58.230309999999996
chr5	137941700	137944079	-	60.3282	2.12553	31.73	58.202670000000005
chr2	152986680	152989500	+	60.6024	2.45828	15.31	58.14412
chr18	67364300	67368700	+	59.4729	1.34744	6.35	58.125460000000004
chr19	34585000	34602266	-	63.8186	5.77003	30.41	58.048570000000005
chr2	156000900	156005955	-	60.0311	2.0718400000000003	36.01	57.95926
chr7	97591361	97599200	+	59.0449	1.17545	31.74	57.86945
chr11	76220044	76221600	+	58.5145	0.7676350000000001	8.77	57.746865
chr7	53128182	53130700	+	61.502	3.75726	34.11	57.74474
chr1	169235500	169240300	+	59.2719	1.52973	15.92	57.74217
chr7	50698632	50710200	+	60.4152	2.74287	41.54	57.67233
chr3	40754358	40760300	+	59.1014	1.50819	18.67	57.59321
chr18	80452127	80475600	+	61.8599	4.31029	25.77	57.54961
chr9	110207291	110209100	+	58.6702	1.26683	11.35	57.40337
chr1	39423600	39428000	+	59.5877	2.25429	7.45	57.33341
chr14	64478000	64481100	+	60.4299	3.097	6.25	57.3329
chr4	40917310	40924800	+	59.5446	2.26506	23.43	57.279540000000004
chr16	38562100	38563590	+	58.0581	0.8373219999999999	8.97	57.220778
chr8	14885900	14888840	+	58.7134	1.49758	56.3	57.21582
chr18	80403262	80414100	+	59.63	2.45289	18.42	57.17711
chr13	74451900	74455800	-	58.4289	1.25606	17.52	57.17284
chr14	58281900	58284727	-	58.2149	1.05746	9.53	57.15744
chr6	87972700	88002300	-	60.8026	3.66603	14.85	57.13657
chr1	16642300	16647399	-	58.4432	1.41697	15.55	57.02623
chr6	85282789	85285700	-	58.6283	1.61573	28.1	57.012570000000004
chr17	28619600	28623800	-	58.8588	1.86294	10.7	56.99586
chr2	38919500	38921806	-	58.4151	1.42235	12.2	56.99275
chr18	66157600	66162660	-	58.1152	1.21852	23.65	56.89668
chr15	77799200	77803000	-	58.8443	2.0718400000000003	31.12	56.772459999999995
chr11	72503133	72508200	+	59.1725	2.40997	8.97	56.76253
chr15	76173596	76176200	+	59.2729	2.58181	18.04	56.69109
chr13	101600400	101603634	-	58.8447	2.29752	19.36	56.547180000000004
chr3	96960600	96966300	+	57.8859	1.34728	22.84	56.53862
chr17	74714300	74717000	-	57.1423	0.644105	9.66	56.498194999999996
chr6	115755000	115759600	-	59.5306	3.05408	8.03	56.47652
chr10	93350500	93353600	-	57.6291	1.2936	7.3	56.3355
chr3	88489369	88492800	+	59.1725	2.8984	27.59	56.2741
chr5	54390009	54394000	+	57.3157	1.07346	23.48	56.24224
chr8	13102900	13105568	-	57.7284	1.52973	20.98	56.19867
chr11	77975600	77979815	-	58.8874	2.74287	22.69	56.14453
chr11	3164600	3167151	-	58.2434	2.1630700000000003	7.57	56.080330000000004
chr17	25068800	25074800	-	58.8291	2.75349	7.48	56.07561
chr16	29579100	29581300	+	57.357	1.28821	11.36	56.06879
chr15	35865800	35868262	-	57.0438	1.079	19.67	55.9648
chr10	7382787	7385300	-	57.2427	1.28283	21.28	55.95987
chr12	4823200	4826800	+	57.5283	1.6155700000000002	11.56	55.91273
chr8	3675600	3678800	+	56.8715	0.960851	17.85	55.910649
chr9	66793548	66796900	+	56.9145	1.05207	26.28	55.862429999999996
chr11	90110449	90122900	+	60.7306	4.88963	16.7	55.84097
chr18	24809400	24816600	+	58.7716	2.93086	36.27	55.84074
chr17	33529900	33532700	-	56.9716	1.32575	12.98	55.64585
chr4	44769159	44772100	+	57.0139	1.37405	13.63	55.63985
chr1	137206400	137211300	-	58.0993	2.46366	22.13	55.63564
chr9	106684400	106694600	-	58.2586	2.64072	23.31	55.61788
chr3	53665700	53668800	-	57.2293	1.74448	5.32	55.48482
chr16	14315700	14317813	-	56.6701	1.1916	5.72	55.4785
chr6	116157100	116159800	+	56.4419	1.03054	18.39	55.411359999999995
chr7	88933100	88935200	-	57.3001	1.8894	11.52	55.4107
chr19	29198200	29201928	+	59.3152	3.95601	41.91	55.35919
chr9	25058200	25060051	+	56.3998	1.04131	21.73	55.358489999999996
chr3	32607264	32609700	+	56.1137	0.756866	8.76	55.356834
chr2	155934800	155938073	-	57.158	1.8034	13.98	55.354600000000005
chr4	108873400	108875600	-	56.2275	0.896394	5.42	55.331106
chr19	10708000	10711200	+	57.471	2.22214	39.4	55.24885999999999
chr14	66455400	66461300	+	57.3858	2.22214	19.85	55.16366
chr14	21294600	21299556	-	56.6711	1.57804	14.89	55.09306
chr18	9443500	9450369	-	56.3002	1.30959	18.7	54.99061
chr19	5405600	5410500	+	57.7575	2.77518	33.54	54.98232
chr14	52922900	52925800	-	55.9994	1.03054	10.71	54.96886
chr17	35378041	35383300	+	57.5293	2.62488	27.95	54.90442
chr4	108672928	108677400	+	55.99800000000001	1.12715	14.43	54.87085000000001
chr10	93660000	93662800	+	57.3147	2.47443	14.31	54.840270000000004
chr8	86090263	86094300	+	57.4425	2.61934	13.72	54.82316
chr8	125999500	126003800	+	56.929	2.14722	14.22	54.781780000000005
chr3	90034800	90038200	+	56.185	1.40636	16.01	54.77864
chr2	25413145	25415700	+	56.8995	2.15768	24.86	54.741820000000004
chr14	57286787	57289600	+	56.099	1.37405	8.51	54.72495
chr17	56318500	56326600	-	57.357	2.65165	16.68	54.705349999999996
chr7	132586800	132589600	+	56.2122	1.52466	22.27	54.687540000000006
chr5	128088100	128098105	-	58.4011	3.73034	17.26	54.67076
chr8	116158300	116161000	+	56.1836	1.51373	15.99	54.669869999999996
chr19	44208700	44211200	-	55.4851	0.8910100000000001	12.11	54.59409
chr6	120479500	120482800	-	56.085	1.55665	12.89	54.52835
chr3	126298948	126303300	+	55.8283	1.39036	21.36	54.43794
chr8	86238778	86242600	+	55.4562	1.02531	9.5	54.430890000000005
chr2	112102800	112107000	+	56.4278	2.02354	10.87	54.40426
chr6	15668500	15673100	+	55.7997	1.42251	18.33	54.37719
chr6	48540400	48544924	+	57.2718	2.94132	45.82	54.33048
chr6	38299100	38304661	-	56.8991	2.59796	22.94	54.30114
chr10	62111400	62114749	-	55.8718	1.58342	15.86	54.288380000000004
chr18	74427020	74431600	+	55.8992	1.63711	20.19	54.26209
chr5	143667675	143679000	-	57.9995	3.75741	31.97	54.24209
chr8	32277300	32280500	-	56.1421	1.9054	13.65	54.2367
chr10	59740052	59755600	+	58.4995	4.27245	23.42	54.22705
chr9	40609101	40618100	+	56.415	2.20076	11.57	54.21424
chr1	130311100	130314600	-	55.2695	1.06315	26.96	54.20635
chr6	56664538	56669300	+	55.4572	1.26667	18.35	54.19053
chr19	55324600	55344100	+	58.7289	4.546119999999998	34.11	54.18278000000001
chr16	91372400	91387900	+	57.1139	2.9467	45.3	54.1672
chr7	30597400	30605300	+	56.3701	2.28121	15.0	54.08889
chr17	80279200	80295124	-	56.4146	2.3349	38.53	54.0797
chr13	55722900	55726400	+	55.9269	1.90001	12.76	54.02689
chr7	133708000	133710800	-	55.3851	1.36867	8.33	54.01643
chr1	60616300	60623632	-	56.101000000000006	2.14153	15.96	53.95947
chr2	25064700	25067700	-	56.4996	2.56042	8.01	53.93918
chr11	95275321	95285400	+	55.8135	1.9054	20.5	53.9081
chr14	55712800	55717100	+	56.2419	2.34029	22.27	53.90161
chr17	21145300	21147800	+	55.8856	2.00739	9.78	53.878209999999996
chr3	90051200	90064300	+	56.9139	3.05423	25.33	53.85967
chr12	72075549	72082200	+	55.4144	1.56188	22.62	53.85252
chr4	131864222	131866700	+	56.0285	2.18461	17.51	53.84389
chr11	97625300	97628900	-	55.9417	2.09877	15.8	53.842929999999996
chr7	134260900	134266500	-	56.4284	2.66226	41.63	53.76614000000001
chr17	25320100	25327900	+	55.9123	2.1739900000000003	12.11	53.73831
chr17	24297800	24307041	-	56.0133	2.37259	27.53	53.64071
chr18	32088100	32100500	+	57.0718	3.4408199999999995	45.21	53.63098
chr11	77160700	77165700	+	54.8138	1.18622	18.01	53.62758
chr2	70499318	70513600	+	55.9988	2.37259	16.68	53.62621
chr19	42592600	42595600	+	56.1277	2.54965	20.66	53.57805
chr1	121533100	121545613	-	56.7001	3.14023	27.92	53.55987
chr2	151564100	151567800	-	57.4437	3.90217	11.58	53.54153
chr19	56622763	56625600	+	54.8569	1.33113	35.17	53.52577
chr10	42939900	42943000	+	55.7279	2.23276	14.2	53.49514
chr10	42221734	42230200	+	55.1278	1.7067900000000005	22.05	53.42101
chr4	116298500	116300501	-	54.0564	0.654874	8.78	53.401526
chr17	30738000	30749655	-	55.8137	2.4852	22.07	53.3285
chr19	8809500	8812100	+	54.4552	1.17545	3.38	53.27975
chr13	58296100	58319700	-	56.2988	3.08085	44.34	53.21795
chr12	112585100	112615896	-	58.3582	5.15284	29.35	53.20536
chr2	92295000	92301200	-	57.2848	4.10615	12.32	53.17865
chr2	90685000	90692000	+	55.0122	1.83571	20.17	53.17649
chr8	112213200	112217542	-	56.0413	2.86625	15.65	53.17505
chr13	101497500	101501246	-	55.041	1.86786	9.52	53.17314
chr5	108696900	108702700	+	55.0276	1.90017	14.08	53.12743
chr12	104861800	104875300	-	56.528	3.42974	35.83	53.098259999999996
chr16	32276600	32282100	+	54.2849	1.22914	13.57	53.05576
chr7	13419100	13422200	+	54.5269	1.48143	18.93	53.045469999999995
chr5	3927200	3933000	+	54.9852	1.95385	18.24	53.031349999999996
chr3	144376200	144383032	-	56.0852	3.06485	36.86	53.02035
chr10	61910600	61913700	-	55.3138	2.32983	17.26	52.98397
chr9	69244900	69247600	+	54.9709	1.99123	18.97	52.97967
chr4	116825500	116829369	-	55.0847	2.1203	6.81	52.9644
chr5	143655700	143659900	-	54.6415	1.72849	9.47	52.91301
chr7	104547800	104553400	+	55.5416	2.6514900000000003	10.26	52.89011
chr11	29425400	29429800	+	54.4987	1.65311	12.13	52.84559
chr11	97887927	97890400	+	53.7707	0.93393	13.71	52.83677
chr18	90677700	90680800	+	53.6705	0.8373219999999999	8.39	52.833178
chr11	17156800	17160000	+	53.827	1.01977	13.75	52.80723
chr10	75381600	75385600	-	55.0549	2.25983	11.87	52.79507
chr1	183072700	183074981	-	54.2269	1.4331200000000002	12.12	52.79378
chr13	14130600	14133200	-	54.1262	1.39036	20.05	52.735839999999996
chr4	135606200	135609680	-	54.7415	2.01816	6.08	52.72334
chr19	7053747	7057200	-	54.0981	1.4171200000000002	11.09	52.680980000000005
chr19	7054724	7057200	-	54.0981	1.4171200000000002	30.52	52.680980000000005
chr19	45854100	45858386	-	54.3849	1.71772	13.73	52.66718
chr6	106718774	106720700	+	54.699	2.05046	4.73	52.64854
chr7	137660400	137663933	-	53.5409	0.987618	26.99	52.553282
chr5	37139091	37140600	-	53.8412	1.30452	8.44	52.536680000000004
chr7	140829024	140832600	+	53.8557	1.34728	12.01	52.50842
chr3	142056300	142058628	-	54.0979	1.59419	25.4	52.503710000000005
chr3	94908500	94911168	-	54.1692	1.70141	5.7	52.467789999999994
chr4	108506898	108509300	+	55.9572	3.5265	17.61	52.4307
chr5	122607471	122617400	+	54.8573	2.44212	5.02	52.41518
chr3	153570200	153576727	-	55.5276	3.17238	17.12	52.35522
chr9	107456650	107460100	+	54.0548	1.7391	18.99	52.3157
chr15	88912900	88922600	+	58.1721	5.89356	46.33	52.27854
chr5	122734526	122747100	+	56.1141	3.85402	16.17	52.26008
chr7	148352900	148360000	-	54.9982	2.8181	33.6	52.180099999999996
chr14	75683200	75685600	+	53.6839	1.51912	12.64	52.16478
chr10	62062400	62066700	-	54.9122	2.7481	6.24	52.1641
chr8	3515937	3518100	+	53.2958	1.14345	30.02	52.15235
chr7	31406100	31411524	-	53.9134	1.90555	16.56	52.007850000000005
chr2	62479200	62485800	-	53.7979	1.79279	17.13	52.00511
chr9	79601800	79611500	-	54.6545	2.6998	23.62	51.954699999999995
chr4	107551600	107554100	+	53.1984	1.25591	7.34	51.94249
chr16	17920500	17928641	-	54.456	2.5175	23.46	51.938500000000005
chr1	36747600	36749900	+	53.6559	1.7604799999999998	12.7	51.89542
chr16	87454200	87458900	+	54.2987	2.4367400000000004	10.01	51.861959999999996
chr7	87405200	87407700	+	53.2261	1.37436	9.12	51.85174
chr16	93832499	93838800	+	53.1125	1.26144	19.86	51.85106
chr3	135083300	135086455	-	53.0838	1.24529	20.03	51.83851
chr12	77938387	77940000	+	52.9261	1.1540700000000002	6.94	51.77203
chr13	55694160	55696400	+	52.7831	1.01454	4.75	51.76856
chr9	72886300	72889200	-	53.6415	1.87863	6.91	51.76287
chr2	181230800	181234300	+	53.1259	1.36867	26.82	51.75723
chr9	79624500	79641374	-	53.9274	2.21137	25.51	51.716029999999996
chr6	97124000	97130200	-	53.4555	1.75525	11.38	51.700250000000004
chr5	24090400	24094800	+	53.4555	1.7606400000000002	6.85	51.69486
chr2	142888100	142892400	+	52.5979	0.907163	3.72	51.690737000000006
chr13	64252700	64254147	-	52.5839	0.901779	8.04	51.682121
chr2	152052339	152055100	+	53.0985	1.43851	20.91	51.65999
chr7	29119700	29124541	-	53.2413	1.5888	12.14	51.6525
chr7	125254300	125263900	-	53.5409	1.9377	8.29	51.6032
chr12	76823700	76836643	-	53.0265	1.4331200000000002	21.58	51.593379999999996
chr6	51961100	51963900	-	52.8113	1.22391	12.42	51.58739
chr19	29064609	29066800	+	53.0403	1.45989	14.02	51.58041
chr17	33129720	33132100	+	53.6128	2.03431	3.93	51.57849
chr8	4237000	4241300	+	54.7269	3.16684	22.08	51.56006
chr9	108392000	108395300	+	54.584	3.04885	15.49	51.53515
chr2	112294200	112297400	+	52.7266	1.24529	8.34	51.48131
chr19	4325500	4334315	-	53.8266	2.36167	23.32	51.464929999999995
chr3	106524432	106526100	+	52.011	0.547497	17.17	51.463503
chr2	131058900	131066100	+	54.1835	2.7696400000000003	32.63	51.41386
chr4	44024100	44030800	+	53.369	1.95908	8.07	51.40992
chr16	17109000	17111900	-	53.0115	1.6048	6.23	51.4067
chr7	133644000	133646262	-	52.655	1.25606	13.31	51.39894
chr16	17508366	17511000	+	54.7419	3.37621	16.04	51.36569
chr9	54703200	54723600	+	54.2843	2.97901	2.02	51.30529
chr7	16502300	16508600	-	53.4689	2.16861	15.84	51.30029
chr15	57709600	57724028	-	55.5286	4.23507	21.41	51.29353
chr7	109415976	109421900	+	53.2842	2.03969	13.47	51.24451
chr2	4566900	4573536	-	53.9557	2.71595	11.44	51.23975
chr11	106858400	106860885	-	52.74100000000001	1.51896	12.67	51.22204000000001
chr19	8953300	8955761	-	53.2409	2.05569	10.41	51.185210000000005
chr9	67687828	67698300	+	53.9414	2.76425	10.49	51.177150000000005
chr2	5872165	5877100	+	52.7692	1.6048	15.63	51.1644
chr8	58770300	58779000	+	52.398	1.23452	23.44	51.16348
chr10	62382200	62384065	+	52.1541	0.993156	11.62	51.160944
chr13	120250300	120254100	+	52.9121	1.7551	12.06	51.157000000000004
chr11	79997027	80000800	+	52.6829	1.54588	26.66	51.13702
chr9	110434751	110447200	+	53.4277	2.31336	20.46	51.11434
chr11	70577000	70580500	+	53.2125	2.09877	10.28	51.11373
chr8	73890000	73893300	+	54.5104	3.39775	23.77	51.112649999999995
chr2	156372940	156375400	+	52.9265	1.82494	4.65	51.10156
chr7	100021900	100023717	-	51.9962	0.901779	25.38	51.094421000000004
chr19	8784800	8789000	-	53.397	2.30275	10.79	51.094249999999995
chr2	120382000	120390300	-	53.7553	2.69441	18.33	51.06089
chr6	57652100	57654200	+	52.6683	1.62096	15.25	51.047340000000005
chr12	88287515	88292500	+	53.525	2.47997	28.36	51.04503
chr5	139063720	139066300	+	52.0828	1.04669	10.11	51.03611
chr2	173900300	173904300	+	53.2694	2.24368	12.53	51.02572
chr4	132830600	132835000	-	52.9544	1.9377	18.42	51.0167
chr5	147643600	147646800	+	52.7823	1.76587	22.47	51.01643
chr9	113610400	113617696	-	53.4557	2.5388900000000003	19.68	50.91681
chr2	118980300	118983092	-	53.6833	2.7696400000000003	20.16	50.91366
chr16	35866600	35872700	-	53.7264	2.82871	19.93	50.89769
chr13	21271386	21274900	+	52.0834	1.25606	21.49	50.82734
chr11	50190873	50195300	+	52.298	1.47066	28.3	50.82734
chr4	150416600	150419044	-	52.1547	1.3365200000000002	30.74	50.81818
chr11	80021900	80033000	+	53.6128	2.82317	18.32	50.78963
chr11	68901400	68907100	+	55.3855	4.59996	16.88	50.78554
chr14	58416906	58420000	+	53.1271	2.40459	7.1	50.72251
chr6	35486000	35490162	-	51.4969	0.794402	6.58	50.702498
chr10	52136400	52148300	+	52.9414	2.24891	9.74	50.69249
chr10	80956900	80959914	-	53.7116	3.02208	5.33	50.689519999999995
chr11	76890400	76892646	-	51.2819	0.601186	3.86	50.680714
chr9	121618700	121621600	+	52.839	2.17922	27.35	50.65978
chr6	83027300	83031000	+	52.9115	2.2706	13.03	50.640899999999995
chr11	109511869	109518300	+	52.8702	2.23291	16.39	50.63729
chr8	23521519	23525500	+	51.7115	1.12192	13.23	50.58958
chr7	134150600	134162400	-	52.8971	2.31352	28.62	50.583580000000005
chr13	75976200	75983800	+	53.9557	3.37605	12.52	50.57965
chr15	80064165	80068900	+	51.7975	1.22391	14.81	50.573589999999996
chr15	80063572	80068900	+	51.7975	1.22391	7.38	50.573589999999996
chr14	102038400	102040317	-	51.3103	0.7408680000000001	8.57	50.569432
chr3	94777600	94783400	+	52.2411	1.72833	21.28	50.51277
chr5	33993300	33996100	-	51.8401	1.3742	14.78	50.4659
chr16	92300600	92303300	+	53.2403	2.77502	8.85	50.46528
chr4	118843900	118847600	-	52.7544	2.3029	11.87	50.451499999999996
chr7	117203000	117205083	-	51.6684	1.21852	32.11	50.44988
chr5	77333500	77336500	-	52.54	2.12015	17.32	50.41985
chr16	4683423	4686100	+	51.9972	1.58342	27.85	50.41378
chr17	34051000	34057209	+	52.7831	2.38336	17.12	50.399739999999994
chr8	35170200	35173300	-	52.0968	1.72849	9.09	50.36831
chr6	47785487	47790800	+	51.2687	0.955467	10.68	50.313233000000004
chr17	83910800	83914344	-	52.2267	1.91616	14.42	50.31054
chr18	60682300	60688100	+	52.5955	2.29752	18.05	50.29798
chr6	49023453	49026800	+	52.112	1.81417	9.9	50.297830000000005
chr18	32297242	32300300	-	52.4266	2.13092	44.13	50.29568
chr13	54568600	54570559	-	52.9123	2.63534	3.64	50.27696
chr19	5087200	5089900	+	52.3819	2.18461	9.53	50.19729
chr11	118149700	118152400	-	53.3679	3.18838	11.76	50.17952
chr10	70696100	70701600	-	51.7107	1.54065	14.42	50.17005
chr13	55524800	55531600	-	53.0556	2.88763	30.47	50.16797
chr13	115607300	115612300	+	52.412	2.25445	31.06	50.15755
chr6	148778000	148780185	-	51.0248	0.939314	11.37	50.085485999999996
chr19	5688985	5694800	+	53.2694	3.18838	20.31	50.081019999999995
chr7	13617200	13622600	-	52.9532	2.93609	16.18	50.01711
chr13	74344200	74347400	-	50.8114	0.794402	15.06	50.016998
chr9	106723883	106726000	+	50.7974	0.789018	10.22	50.008382000000005
chr2	90518600	90520900	+	51.5396	1.55665	11.88	49.98295
chr8	109673400	109691800	+	52.8828	2.90394	22.72	49.978860000000005
chr15	58246300	58250700	+	52.2545	2.29198	12.8	49.96252
chr4	151307000	151313200	+	53.49800000000001	3.6285	18.61	49.86950000000001
chr11	119249300	119258300	+	53.2836	3.42451	38.92	49.85909
chr5	147773600	147776000	-	51.5113	1.6694099999999998	15.3	49.84189
chr4	41293600	41298400	+	51.0396	1.27206	21.63	49.76754
chr8	87380536	87383800	+	51.5107	1.83571	6.23	49.67499
chr16	31992900	32004400	-	52.3258	2.6514900000000003	10.55	49.67431
chr19	9015600	9020200	+	51.7678	2.12015	23.63	49.64765
chr4	117585600	117588256	-	51.6971	2.0718400000000003	10.95	49.62526
chr6	112995385	112999000	+	51.0529	1.4331200000000002	20.43	49.61978
chr3	144781156	144782700	+	50.4533	0.848244	11.37	49.605056
chr12	25659000	25662800	+	50.2674	0.7460979999999999	8.16	49.521302000000006
chr3	97430700	97433600	+	50.6682	1.15945	22.89	49.50875
chr11	5686700	5690800	+	51.6536	2.16861	11.5	49.484989999999996
chr13	34403500	34437414	-	52.7839	3.30652	13.38	49.477380000000004
